코드,역명,시간,환승,
709,장암,0,,
710,도봉산,5,,
711,수락산,3,,
712,마들,2,,
713,노원,2,411,
714,중계,2,,
715,하계,2,,
716,공릉,2,,
717,태릉입구,1,645,
718,먹골,2,,
719,중화,2,,
720,상봉,2,,
721,면목,2,,
722,사가정,2,,
723,용마산,1,,
724,중곡,2,,
725,군자,2,544,
726,어린이대공원,2,,
727,건대입구,2,212,
728,뚝섬유원지,2,,
729,청담,3,,
730,강남구청,2,,
731,학동,1,,
732,논현,2,,
733,반포,2,,
734,고속터미널,2,339,
735,내방,3,,
736,이수,2,432,
737,남성,2,,
738,숭실대입구,3,,
739,상도,1,,
740,장승배기,2,,
741,신대방삼거리,3,,
742,보래매,1,,
743,신풍,2,,
744,대림,3,233,
745,남구로,2,,
746,가산디지털단지,1,,
747,철산,3,,
748,광명사거리,2,,
749,천왕,3,,
750,온수,3,,
751,까치올,2,,
752,부천종합운동장,2,,
753,춘의,2,,
754,신중동,2,,
755,부천시청,3,,
756,상동,2,,
757,삼산체육관,1,,
758,굴포천,2,,
759,부평구청,3,,
